####################################################
#
# AMS-02 pbar/p ratio and pbar flux
#
# Taken from Table 6 in
# Physics Reports Volume 894, 7 February 2021, Pages 1-116
#
####################################################
#
# Column 1: Rigidity [GV] from
# Column 2: Rigidity [GV] to
# Column 3: Number of antiprotons
# Column 4: pbar/p ratio
# Column 5: sigma stat
# Column 6: sigma sys (on ratio)              !!not given
# Column 7: sigma sys (on folded acceptance)  !!not given
# Column 8: sigma sys (on Rigidity scale)     !!not given 
# Column 9: sigma sys (total)
# Column10: Factor (for columns 3-9)
#
####################################################
#
# Column11: Antiproton flux in m-2 sr-1 s-1 GV-1
# Column12: sigma stat
# Column13: sigma sys
# Column14: Factor (for columns 11-13)
#
#
#################################################################################################################################
#                                                                                           #                                   #
# R1     R2      N         pbar/p   stat     N sys    A sys    R sys    sys     factor pbar #  Phi      stat     sys      factor#
#################################################################################################################################
1.0     1.16     69.0     7.78     1.04      0.     0.     0.       0.59     1e-06     6.41     0.85     0.57     0.001
1.16     1.33     159.0     9.7     0.8      0.     0.     0.       0.63     1e-06     7.78     0.64     0.61     0.001
1.33     1.51     324.0     1.23     0.08      0.     0.     0.       0.07     1e-05     9.29     0.6     0.63     0.001
1.51     1.71     1027.0     1.61     0.06      0.     0.     0.       0.08     1e-05     1.11     0.04     0.07     0.01
1.71     1.92     1609.0     1.99     0.06      0.     0.     0.       0.1     1e-05     1.25     0.04     0.07     0.01
1.92     2.15     2285.0     2.45     0.07      0.     0.     0.       0.12     1e-05     1.36     0.04     0.07     0.01
2.15     2.4     3185.0     3.13     0.08      0.     0.     0.       0.15     1e-05     1.52     0.04     0.08     0.01
2.4     2.67     4792.0     3.8     0.08      0.     0.     0.       0.19     1e-05     1.6     0.03     0.08     0.01
2.67     2.97     6805.0     4.44     0.08      0.     0.     0.       0.21     1e-05     1.59     0.03     0.08     0.01
2.97     3.29     9281.0     5.5     0.09      0.     0.     0.       0.26     1e-05     1.67     0.03     0.08     0.01
3.29     3.64     10888.0     6.2     0.1      0.     0.     0.       0.29     1e-05     1.58     0.03     0.08     0.01
3.64     4.02     12681.0     6.99     0.13      0.     0.     0.       0.31     1e-05     1.48     0.03     0.07     0.01
4.02     4.43     3553.0     8.64     0.15      0.     0.     0.       0.38     1e-05     1.52     0.03     0.07     0.01
4.43     4.88     4670.0     9.52     0.14      0.     0.     0.       0.41     1e-05     1.38     0.02     0.06     0.01
4.88     5.37     6051.0     1.03     0.01      0.     0.     0.       0.04     0.0001     1.22     0.02     0.05     0.01
5.37     5.9     8541.0     1.15     0.01      0.     0.     0.       0.05     0.0001     1.11     0.01     0.05     0.01
5.9     6.47     9703.0     1.23     0.01      0.     0.     0.       0.05     0.0001     9.57     0.1     0.41     0.001
6.47     7.09     10734.0     1.35     0.01      0.     0.     0.       0.05     0.0001     8.52     0.08     0.36     0.001
7.09     7.76     11154.0     1.46     0.01      0.     0.     0.       0.06     0.0001     7.48     0.07     0.31     0.001
7.76     8.48     12023.0     1.5     0.01      0.     0.     0.       0.06     0.0001     6.18     0.06     0.25     0.001
8.48     9.26     12426.0     1.58     0.01      0.     0.     0.       0.06     0.0001     5.23     0.05     0.21     0.001
9.26     10.1     38386.0     1.67     0.01      0.     0.     0.       0.06     0.0001     4.47     0.02     0.17     0.001
10.1     11.0     37058.0     1.77     0.01      0.     0.     0.       0.06     0.0001     3.79     0.02     0.14     0.001
11.0     12.0     34784.0     1.76     0.01      0.     0.     0.       0.06     0.0001     3.04     0.02     0.11     0.001
12.0     13.0     28535.0     1.85     0.01      0.     0.     0.       0.07     0.0001     2.57     0.02     0.09     0.001
13.0     14.1     26843.0     1.91     0.01      0.     0.     0.       0.07     0.0001     2.15     0.01     0.08     0.001
14.1     15.3     24428.0     1.91     0.01      0.     0.     0.       0.07     0.0001     1.74     0.01     0.06     0.001
15.3     16.6     24120.0     1.93     0.01      0.     0.     0.       0.06     0.0001     1.42     0.01     0.05     0.001
16.6     18.0     23238.0     1.96     0.01      0.     0.     0.       0.06     0.0001     1.16     0.01     0.04     0.001
18.0     19.5     22957.0     1.99     0.01      0.     0.     0.       0.06     0.0001     9.52     0.07     0.32     0.0001
19.5     21.1     20227.0     1.99     0.01      0.     0.     0.       0.06     0.0001     7.71     0.06     0.25     0.0001
21.1     22.8     19126.0     2.03     0.02      0.     0.     0.       0.06     0.0001     6.33     0.05     0.2     0.0001
22.8     24.7     18338.0     2.02     0.02      0.     0.     0.       0.06     0.0001     5.09     0.04     0.15     0.0001
24.7     26.7     17664.0     1.99     0.02      0.     0.     0.       0.05     0.0001     4.03     0.03     0.11     0.0001
26.7     28.8     14463.0     2.01     0.02      0.     0.     0.       0.05     0.0001     3.3     0.03     0.09     0.0001
28.8     31.1     13035.0     2.05     0.02      0.     0.     0.       0.05     0.0001     2.71     0.02     0.07     0.0001
31.1     33.5     12207.0     2.01     0.02      0.     0.     0.       0.05     0.0001     2.16     0.02     0.06     0.0001
33.5     36.1     11756.0     2.08     0.02      0.     0.     0.       0.05     0.0001     1.81     0.02     0.05     0.0001
36.1     38.9     9681.0     2.02     0.02      0.     0.     0.       0.05     0.0001     1.43     0.02     0.04     0.0001
38.9     41.9     3477.0     1.93     0.03      0.     0.     0.       0.05     0.0001     1.1     0.02     0.03     0.0001
41.9     45.1     3299.0     1.9     0.03      0.     0.     0.       0.05     0.0001     8.8     0.16     0.24     1e-05
45.1     48.5     2742.0     1.9     0.04      0.     0.     0.       0.05     0.0001     7.19     0.14     0.2     1e-05
48.5     52.2     2341.0     1.93     0.04      0.     0.     0.       0.05     0.0001     5.94     0.13     0.16     1e-05
52.2     56.1     2117.0     1.97     0.05      0.     0.     0.       0.05     0.0001     4.97     0.11     0.14     1e-05
56.1     60.3     1840.0     1.86     0.05      0.     0.     0.       0.05     0.0001     3.83     0.1     0.11     1e-05
60.3     64.8     1606.0     1.89     0.05      0.     0.     0.       0.05     0.0001     3.16     0.08     0.09     1e-05
