# search for squarks and gluinos in MET_jet final states

Inputfile:
XSect:           1000 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     139000

Cut                     Sum_W  Sum_W2  Acc      N_Norm   
00_all                  50000  50000   1        139000   
01_Preselection         21815  21815   0.4363   60645.7  
2j-1600_02_jetmulti     21815  21815   0.4363   60645.7  
2j-1600_03_dPhilow      16847  16847   0.33694  46834.7  
2j-1600_04_dPhihigh     14419  14419   0.28838  40084.8  
2j-1600_05_PTjets       3532   3532    0.07064  9818.96  
2j-1600_06_Etajets      3417   3417    0.06834  9499.26  
2j-1600_07_aplanarity   3417   3417    0.06834  9499.26  
2j-1600_08_METrelative  1363   1363    0.02726  3789.14  
2j-1600_09_Meff         772    772     0.01544  2146.16  
2j-2200_02_jetmulti     21815  21815   0.4363   60645.7  
2j-2200_03_dPhilow      19442  19442   0.38884  54048.8  
2j-2200_04_dPhihigh     17972  17972   0.35944  49962.2  
2j-2200_05_PTjets       1344   1344    0.02688  3736.32  
2j-2200_06_Etajets      1344   1344    0.02688  3736.32  
2j-2200_07_aplanarity   1344   1344    0.02688  3736.32  
2j-2200_08_METrelative  788    788     0.01576  2190.64  
2j-2200_09_Meff         389    389     0.00778  1081.42  
2j-2800_02_jetmulti     21815  21815   0.4363   60645.7  
2j-2800_03_dPhilow      16847  16847   0.33694  46834.7  
2j-2800_04_dPhihigh     14419  14419   0.28838  40084.8  
2j-2800_05_PTjets       3532   3532    0.07064  9818.96  
2j-2800_06_Etajets      2737   2737    0.05474  7608.86  
2j-2800_07_aplanarity   2737   2737    0.05474  7608.86  
2j-2800_08_METrelative  1069   1069    0.02138  2971.82  
2j-2800_09_Meff         58     58      0.00116  161.24   
4j-1000_02_jetmulti     17292  17292   0.34584  48071.8  
4j-1000_03_dPhilow      15312  15312   0.30624  42567.4  
4j-1000_04_dPhihigh     12520  12520   0.2504   34805.6  
4j-1000_05_PTjets       5409   5409    0.10818  15037    
4j-1000_06_Etajets      4803   4803    0.09606  13352.3  
4j-1000_07_aplanarity   3817   3817    0.07634  10611.3  
4j-1000_08_METrelative  1376   1376    0.02752  3825.28  
4j-1000_09_Meff         1372   1372    0.02744  3814.16  
4j-2200_02_jetmulti     17292  17292   0.34584  48071.8  
4j-2200_03_dPhilow      15312  15312   0.30624  42567.4  
4j-2200_04_dPhihigh     12520  12520   0.2504   34805.6  
4j-2200_05_PTjets       5409   5409    0.10818  15037    
4j-2200_06_Etajets      4803   4803    0.09606  13352.3  
4j-2200_07_aplanarity   3817   3817    0.07634  10611.3  
4j-2200_08_METrelative  1376   1376    0.02752  3825.28  
4j-2200_09_Meff         170    170     0.0034   472.6    
4j-3400_02_jetmulti     17292  17292   0.34584  48071.8  
4j-3400_03_dPhilow      15312  15312   0.30624  42567.4  
4j-3400_04_dPhihigh     12520  12520   0.2504   34805.6  
4j-3400_05_PTjets       5409   5409    0.10818  15037    
4j-3400_06_Etajets      4803   4803    0.09606  13352.3  
4j-3400_07_aplanarity   3817   3817    0.07634  10611.3  
4j-3400_08_METrelative  3505   3505    0.0701   9743.9   
4j-3400_09_Meff         9      9       0.00018  25.02    
5j-1600_02_jetmulti     11074  11074   0.22148  30785.7  
5j-1600_03_dPhilow      9709   9709    0.19418  26991    
5j-1600_04_dPhihigh     8500   8500    0.17     23630    
5j-1600_05_PTjets       845    845     0.0169   2349.1   
5j-1600_06_Etajets      845    845     0.0169   2349.1   
5j-1600_07_aplanarity   845    845     0.0169   2349.1   
5j-1600_08_METrelative  474    474     0.00948  1317.72  
5j-1600_09_Meff         473    473     0.00946  1314.94  
6j-1000_02_jetmulti     5571   5571    0.11142  15487.4  
6j-1000_03_dPhilow      4844   4844    0.09688  13466.3  
6j-1000_04_dPhihigh     4039   4039    0.08078  11228.4  
6j-1000_05_PTjets       1519   1519    0.03038  4222.82  
6j-1000_06_Etajets      1141   1141    0.02282  3171.98  
6j-1000_07_aplanarity   684    684     0.01368  1901.52  
6j-1000_08_METrelative  204    204     0.00408  567.12   
6j-1000_09_Meff         204    204     0.00408  567.12   
6j-2200_02_jetmulti     5571   5571    0.11142  15487.4  
6j-2200_03_dPhilow      4844   4844    0.09688  13466.3  
6j-2200_04_dPhihigh     4039   4039    0.08078  11228.4  
6j-2200_05_PTjets       1519   1519    0.03038  4222.82  
6j-2200_06_Etajets      1141   1141    0.02282  3171.98  
6j-2200_07_aplanarity   684    684     0.01368  1901.52  
6j-2200_08_METrelative  204    204     0.00408  567.12   
6j-2200_09_Meff         59     59      0.00118  164.02   
6j-3400_02_jetmulti     5571   5571    0.11142  15487.4  
6j-3400_03_dPhilow      4844   4844    0.09688  13466.3  
6j-3400_04_dPhihigh     4039   4039    0.08078  11228.4  
6j-3400_05_PTjets       1519   1519    0.03038  4222.82  
6j-3400_06_Etajets      1141   1141    0.02282  3171.98  
6j-3400_07_aplanarity   684    684     0.01368  1901.52  
6j-3400_08_METrelative  557    557     0.01114  1548.46  
6j-3400_09_Meff         4      4       8e-05    11.12    
