# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           2.08 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50683.9
 SumOfWeights2:  54165.3
 NormEvents:     75.088

Cut                      Sum_W    Sum_W2   Acc         N_Norm    
00_all                   50683.9  54165.3  1           75.088    
01_trigger               48942.2  49430.3  0.965636    72.5077   
02_lepton_veto           48148.1  48636.1  0.949968    71.3312   
03_met>250               44890    44968.1  0.885685    66.5043   
04_meff>800              44630.3  44661    0.880563    66.1197   
05_2j_pt>50              44322.2  44352.7  0.874483    65.6632   
2j-1200_06_jetmulti      44322.2  44352.7  0.874483    65.6632   
2j-1200_07_dPhilow       34154.3  34183.7  0.67387     50.5996   
2j-1200_08_dPhihigh      31495.9  31524.7  0.621419    46.6611   
2j-1200_09_PTjets        26393    26401.6  0.520737    39.1011   
2j-1200_10_Etajets       11709.9  11714.8  0.231038    17.3482   
2j-1200_11_aplanarity    11709.9  11714.8  0.231038    17.3482   
2j-1200_12_METrelative   9531.41  9533.64  0.188056    14.1207   
2j-1200_13_Meff          9520.41  9522.64  0.187839    14.1045   
2j-1600_06_jetmulti      44322.2  44352.7  0.874483    65.6632   
2j-1600_07_dPhilow       34154.3  34183.7  0.67387     50.5996   
2j-1600_08_dPhihigh      31495.9  31524.7  0.621419    46.6611   
2j-1600_09_PTjets        23873    23879.8  0.471018    35.3678   
2j-1600_10_Etajets       17980.9  17985.8  0.354766    26.6387   
2j-1600_11_aplanarity    17980.9  17985.8  0.354766    26.6387   
2j-1600_12_METrelative   12404.2  12406.1  0.244736    18.3767   
2j-1600_13_Meff          12238.2  12240.1  0.241461    18.1308   
2j-2000_06_jetmulti      44322.2  44352.7  0.874483    65.6632   
2j-2000_07_dPhilow       34154.3  34183.7  0.67387     50.5996   
2j-2000_08_dPhihigh      31495.9  31524.7  0.621419    46.6611   
2j-2000_09_PTjets        20962.9  20964    0.4136      31.0564   
2j-2000_10_Etajets       16320.6  16321.5  0.322008    24.179    
2j-2000_11_aplanarity    16320.6  16321.5  0.322008    24.179    
2j-2000_12_METrelative   11123    11123    0.219458    16.4787   
2j-2000_13_Meff          10185    10185    0.200951    15.089    
2j-2100_06_jetmulti      44322.2  44352.7  0.874483    65.6632   
2j-2100_07_dPhilow       39353.6  39383.3  0.776452    58.3023   
2j-2100_08_dPhihigh      37686.6  37716.3  0.743562    55.8326   
2j-2100_09_PTjets        26999.6  27000.3  0.532705    39.9998   
2j-2100_10_Etajets       26999.6  27000.3  0.532705    39.9998   
2j-2100_11_aplanarity    26999.6  27000.3  0.532705    39.9998   
2j-2100_12_METrelative   10990    10990    0.216834    16.2817   
2j-2100_13_Meff          9897     9897     0.195269    14.6624   
2j-2400_06_jetmulti      44322.2  44352.7  0.874483    65.6632   
2j-2400_07_dPhilow       34154.3  34183.7  0.67387     50.5996   
2j-2400_08_dPhihigh      31495.9  31524.7  0.621419    46.6611   
2j-2400_09_PTjets        20962.9  20964    0.4136      31.0564   
2j-2400_10_Etajets       16320.6  16321.5  0.322008    24.179    
2j-2400_11_aplanarity    16320.6  16321.5  0.322008    24.179    
2j-2400_12_METrelative   11123    11123    0.219458    16.4787   
2j-2400_13_Meff          7674     7674     0.151409    11.369    
2j-2800_06_jetmulti      44322.2  44352.7  0.874483    65.6632   
2j-2800_07_dPhilow       34154.3  34183.7  0.67387     50.5996   
2j-2800_08_dPhihigh      31495.9  31524.7  0.621419    46.6611   
2j-2800_09_PTjets        20962.9  20964    0.4136      31.0564   
2j-2800_10_Etajets       16320.6  16321.5  0.322008    24.179    
2j-2800_11_aplanarity    16320.6  16321.5  0.322008    24.179    
2j-2800_12_METrelative   11123    11123    0.219458    16.4787   
2j-2800_13_Meff          4381     4381     0.0864377   6.49044   
2j-3600_06_jetmulti      44322.2  44352.7  0.874483    65.6632   
2j-3600_07_dPhilow       34154.3  34183.7  0.67387     50.5996   
2j-3600_08_dPhihigh      31495.9  31524.7  0.621419    46.6611   
2j-3600_09_PTjets        20962.9  20964    0.4136      31.0564   
2j-3600_10_Etajets       20962.9  20964    0.4136      31.0564   
2j-3600_11_aplanarity    20962.9  20964    0.4136      31.0564   
2j-3600_12_METrelative   14274    14274    0.281628    21.1469   
2j-3600_13_Meff          753      753      0.0148568   1.11557   
2j-B0000_00_2LRjets      37458.8  37472.4  0.739067    55.495    
2j-B0000_01_LRjets_mass  1309     1309     0.0258268   1.93928   
2j-B1600_06_jetmulti     1309     1309     0.0258268   1.93928   
2j-B1600_07_dPhilow      1048     1048     0.0206772   1.55261   
2j-B1600_08_dPhihigh     963      963      0.0190001   1.42668   
2j-B1600_09_PTjets       963      963      0.0190001   1.42668   
2j-B1600_10_Etajets      963      963      0.0190001   1.42668   
2j-B1600_11_aplanarity   963      963      0.0190001   1.42668   
2j-B1600_12_METrelative  536      536      0.0105754   0.794082  
2j-B1600_13_Meff         520      520      0.0102597   0.770378  
2j-B2400_06_jetmulti     1309     1309     0.0258268   1.93928   
2j-B2400_07_dPhilow      1048     1048     0.0206772   1.55261   
2j-B2400_08_dPhihigh     963      963      0.0190001   1.42668   
2j-B2400_09_PTjets       963      963      0.0190001   1.42668   
2j-B2400_10_Etajets      963      963      0.0190001   1.42668   
2j-B2400_11_aplanarity   963      963      0.0190001   1.42668   
2j-B2400_12_METrelative  536      536      0.0105754   0.794082  
2j-B2400_13_Meff         346      346      0.00682663  0.512598  
3j-1300_06_jetmulti      36898.8  36920    0.728019    54.6655   
3j-1300_07_dPhilow       32237.3  32257.6  0.636046    47.7594   
3j-1300_08_dPhihigh      30570.3  30590.6  0.603156    45.2898   
3j-1300_09_PTjets        16311    16311    0.321818    24.1647   
3j-1300_10_Etajets       16311    16311    0.321818    24.1647   
3j-1300_11_aplanarity    16311    16311    0.321818    24.1647   
3j-1300_12_METrelative   12192    12192    0.24055     18.0624   
3j-1300_13_Meff          12192    12192    0.24055     18.0624   
4j-1000_06_jetmulti      23579    23587.5  0.465216    34.9322   
