# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           2.08 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50683.9
 SumOfWeights2:  54165.3
 NormEvents:     75.088

SR        Sum_W    Sum_W2   Acc         N_Norm    
2j-1200   9520.41  9522.64  0.187839    14.1045   
2j-1600   12238.2  12240.1  0.241461    18.1308   
2j-2000   10185    10185    0.200951    15.089    
2j-2100   9897     9897     0.195269    14.6624   
2j-2400   7674     7674     0.151409    11.369    
2j-2800   4381     4381     0.0864377   6.49044   
2j-3600   753      753      0.0148568   1.11557   
2j-B1600  520      520      0.0102597   0.770378  
2j-B2400  346      346      0.00682663  0.512598  
3j-1300   12192    12192    0.24055     18.0624   
4j-1000   1067     1067     0.0210521   1.58076   
4j-1400   2935     2935     0.057908    4.34819   
4j-1800   2730     2730     0.0538633   4.04449   
4j-2200   2249     2249     0.0443731   3.33189   
4j-2600   1159     1159     0.0228672   1.71705   
4j-3000   737      737      0.0145411   1.09186   
5j-1600   2291.4   2291.96  0.0452096   3.3947    
5j-1700   2708     2708     0.0534292   4.01189   
5j-2000   4895     4895     0.096579    7.25193   
5j-2600   2422     2422     0.0477864   3.58819   
6j-1200   1556     1556     0.0307001   2.30521   
6j-1800   232      232      0.00457739  0.343707  
6j-2200   198      198      0.00390657  0.293336  
6j-2600   177      177      0.00349224  0.262225  
