# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           1.01 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     36.461

Cut                      Sum_W  Sum_W2  Acc      N_Norm     
00_all                   50000  50000   1        36.461     
01_trigger               49302  49302   0.98604  35.952     
02_lepton_veto           48235  48235   0.9647   35.1739    
03_met>250               44583  44583   0.89166  32.5108    
04_meff>800              44577  44577   0.89154  32.5064    
05_2j_pt>50              44576  44576   0.89152  32.5057    
2j-1200_06_jetmulti      44576  44576   0.89152  32.5057    
2j-1200_07_dPhilow       27211  27211   0.54422  19.8428    
2j-1200_08_dPhihigh      20413  20413   0.40826  14.8856    
2j-1200_09_PTjets        19931  19931   0.39862  14.5341    
2j-1200_10_Etajets       10751  10751   0.21502  7.83984    
2j-1200_11_aplanarity    10751  10751   0.21502  7.83984    
2j-1200_12_METrelative   7053   7053    0.14106  5.14319    
2j-1200_13_Meff          7053   7053    0.14106  5.14319    
2j-1600_06_jetmulti      44576  44576   0.89152  32.5057    
2j-1600_07_dPhilow       27211  27211   0.54422  19.8428    
2j-1600_08_dPhihigh      20413  20413   0.40826  14.8856    
2j-1600_09_PTjets        19339  19339   0.38678  14.1024    
2j-1600_10_Etajets       16058  16058   0.32116  11.7098    
2j-1600_11_aplanarity    16058  16058   0.32116  11.7098    
2j-1600_12_METrelative   7730   7730    0.1546   5.63687    
2j-1600_13_Meff          7727   7727    0.15454  5.63468    
2j-2000_06_jetmulti      44576  44576   0.89152  32.5057    
2j-2000_07_dPhilow       27211  27211   0.54422  19.8428    
2j-2000_08_dPhihigh      20413  20413   0.40826  14.8856    
2j-2000_09_PTjets        18364  18364   0.36728  13.3914    
2j-2000_10_Etajets       15438  15438   0.30876  11.2577    
2j-2000_11_aplanarity    15438  15438   0.30876  11.2577    
2j-2000_12_METrelative   7316   7316    0.14632  5.33497    
2j-2000_13_Meff          7292   7292    0.14584  5.31747    
2j-2100_06_jetmulti      44576  44576   0.89152  32.5057    
2j-2100_07_dPhilow       35874  35874   0.71748  26.16      
2j-2100_08_dPhihigh      31174  31174   0.62348  22.7327    
2j-2100_09_PTjets        26938  26938   0.53876  19.6437    
2j-2100_10_Etajets       26938  26938   0.53876  19.6437    
2j-2100_11_aplanarity    26938  26938   0.53876  19.6437    
2j-2100_12_METrelative   4143   4143    0.08286  3.02116    
2j-2100_13_Meff          4122   4122    0.08244  3.00584    
2j-2400_06_jetmulti      44576  44576   0.89152  32.5057    
2j-2400_07_dPhilow       27211  27211   0.54422  19.8428    
2j-2400_08_dPhihigh      20413  20413   0.40826  14.8856    
2j-2400_09_PTjets        18364  18364   0.36728  13.3914    
2j-2400_10_Etajets       15438  15438   0.30876  11.2577    
2j-2400_11_aplanarity    15438  15438   0.30876  11.2577    
