# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           1.01 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     36.461

SR        Sum_W  Sum_W2  Acc      N_Norm     
2j-1200   7053   7053    0.14106  5.14319    
2j-1600   7727   7727    0.15454  5.63468    
2j-2000   7292   7292    0.14584  5.31747    
2j-2100   4122   4122    0.08244  3.00584    
2j-2400   7052   7052    0.14104  5.14246    
2j-2800   6106   6106    0.12212  4.45262    
2j-3600   2702   2702    0.05404  1.97035    
2j-B1600  129    129     0.00258  0.0940694  
2j-B2400  123    123     0.00246  0.0896941  
3j-1300   11458  11458   0.22916  8.3554     
4j-1000   2778   2778    0.05556  2.02577    
4j-1400   8236   8236    0.16472  6.00586    
4j-1800   8149   8149    0.16298  5.94241    
4j-2200   7804   7804    0.15608  5.69083    
4j-2600   7878   7878    0.15756  5.7448     
4j-3000   5996   5996    0.11992  4.3724     
5j-1600   8305   8305    0.1661   6.05617    
5j-1700   4718   4718    0.09436  3.44046    
5j-2000   10153  10153   0.20306  7.40377    
5j-2600   5727   5727    0.11454  4.17624    
6j-1200   4740   4740    0.0948   3.4565     
6j-1800   2161   2161    0.04322  1.57584    
6j-2200   1747   1747    0.03494  1.27395    
6j-2600   2148   2148    0.04296  1.56636    
