# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           4.24173 fb
 Error:          0 fb
MCEvents:        10000
 SumOfWeights:   10004.6
 SumOfWeights2:  10013.2
 NormEvents:     85.7627

Cut                       Sum_W    Sum_W2   Acc         N_Norm    
a.2jl_CR01_all            10004.6  10013.2  1           85.7627   
a.2jl_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
a.2jl_CR07_dphiMin2J3J    8147.63  8150.22  0.814391    69.8444   
a.2jl_CR11_RHT            7532.44  7534.82  0.7529      64.5708   
a.2jl_CR13_meffIncl       7281.95  7283.6   0.727863    62.4235   
b.2jm_CR01_all            10004.6  10013.2  1           85.7627   
b.2jm_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
b.2jm_CR07_dphiMin2J3J    8147.63  8150.22  0.814391    69.8444   
b.2jm_CR11_RHT            5345.95  5347.6   0.534351    45.8274   
b.2jm_CR13_meffIncl       4604     4604     0.46019     39.4671   
c.2jt_CR01_all            10004.6  10013.2  1           85.7627   
c.2jt_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
c.2jt_CR07_dphiMin2J3J    8147.63  8150.22  0.814391    69.8444   
c.2jt_CR11_RHT            5345.95  5347.6   0.534351    45.8274   
c.2jt_CR13_meffIncl       3033     3033     0.303162    26        
d.2jW_CR01_all            10004.6  10013.2  1           85.7627   
d.2jW_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
d.2jW_CR07_dphiMin2J3J    8147.63  8150.22  0.814391    69.8444   
d.2jW_CR09_unRW           118      118      0.0117946   1.01154   
d.2jW_CR12_Rmeff          75       75       0.00749658  0.642927  
d.2jW_CR13_meffIncl       57       57       0.0056974   0.488624  
e.3j_CR01_all             10004.6  10013.2  1           85.7627   
e.3j_CR02_missETjetsPT    9016.63  9019.22  0.901251    77.2937   
e.3j_CR03_PT3J            4518.63  4521.22  0.451656    38.7353   
e.3j_CR07_dphiMin2J3J     3964.63  3967.22  0.396282    33.9862   
e.3j_CR12_Rmeff           2782.44  2784.82  0.278117    23.8521   
e.3j_CR13_meffIncl        364      364      0.0363834   3.12034   
f.4jl-_CR01_all           10004.6  10013.2  1           85.7627   
f.4jl-_CR02_missETjetsPT  9016.63  9019.22  0.901251    77.2937   
f.4jl-_CR03_PT3J          4518.63  4521.22  0.451656    38.7353   
f.4jl-_CR04_PT4J          1547.62  1548.49  0.154691    13.2667   
f.4jl-_CR07_dphiMin2J3J   1369.62  1370.49  0.136899    11.7408   
f.4jl-_CR08_dphiMinMoreJ  1260.62  1261.49  0.126004    10.8064   
f.4jl-_CR11_RHT           1027.62  1028.49  0.102715    8.80908   
f.4jl-_CR13_meffIncl      1026.62  1027.49  0.102615    8.80051   
g.4jl_CR01_all            10004.6  10013.2  1           85.7627   
g.4jl_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
g.4jl_CR03_PT3J           4518.63  4521.22  0.451656    38.7353   
g.4jl_CR04_PT4J           1547.62  1548.49  0.154691    13.2667   
g.4jl_CR07_dphiMin2J3J    1369.62  1370.49  0.136899    11.7408   
g.4jl_CR08_dphiMinMoreJ   1260.62  1261.49  0.126004    10.8064   
g.4jl_CR11_RHT            1027.62  1028.49  0.102715    8.80908   
g.4jl_CR13_meffIncl       1006.13  1006.27  0.100567    8.62487   
h.4jm_CR01_all            10004.6  10013.2  1           85.7627   
h.4jm_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
h.4jm_CR03_PT3J           4518.63  4521.22  0.451656    38.7353   
h.4jm_CR04_PT4J           1547.62  1548.49  0.154691    13.2667   
h.4jm_CR07_dphiMin2J3J    1369.62  1370.49  0.136899    11.7408   
h.4jm_CR08_dphiMinMoreJ   1260.62  1261.49  0.126004    10.8064   
h.4jm_CR12_Rmeff          389      389      0.0388823   3.33465   
h.4jm_CR13_meffIncl       345      345      0.0344843   2.95746   
i.4jt_CR01_all            10004.6  10013.2  1           85.7627   
i.4jt_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
i.4jt_CR03_PT3J           4518.63  4521.22  0.451656    38.7353   
i.4jt_CR04_PT4J           1547.62  1548.49  0.154691    13.2667   
i.4jt_CR07_dphiMin2J3J    1369.62  1370.49  0.136899    11.7408   
i.4jt_CR08_dphiMinMoreJ   1260.62  1261.49  0.126004    10.8064   
i.4jt_CR12_Rmeff          975.615  976.487  0.097517    8.36332   
i.4jt_CR13_meffIncl       160      160      0.0159927   1.37158   
j.4jW_CR01_all            10004.6  10013.2  1           85.7627   
j.4jW_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
j.4jW_CR03_PT3J_for4jW    5692.63  5695.22  0.569003    48.7992   
j.4jW_CR04_PT4J_for4jW    2653.44  2655.82  0.265223    22.7462   
j.4jW_CR07_dphiMin2J3J    2332.44  2334.82  0.233138    19.9945   
j.4jW_CR08_dphiMinMoreJ   2175.44  2177.82  0.217445    18.6487   
j.4jW_CR09_unRW           475      475      0.0474783   4.07187   
j.4jW_CR10_RW             116      116      0.0115947   0.994393  
j.4jW_CR12_Rmeff          55       55       0.00549749  0.47148   
j.4jW_CR13_meffIncl       55       55       0.00549749  0.47148   
k.5j_CR01_all             10004.6  10013.2  1           85.7627   
k.5j_CR02_missETjetsPT    9016.63  9019.22  0.901251    77.2937   
k.5j_CR03_PT3J            4518.63  4521.22  0.451656    38.7353   
k.5j_CR04_PT4J            1547.62  1548.49  0.154691    13.2667   
k.5j_CR05_PT5J            389      389      0.0388823   3.33465   
k.5j_CR07_dphiMin2J3J     347      347      0.0346842   2.97461   
k.5j_CR08_dphiMinMoreJ    303      303      0.0302862   2.59742   
k.5j_CR12_Rmeff           268      268      0.0267878   2.29739   
k.5j_CR13_meffIncl        242      242      0.024189    2.07451   
l.6jl_CR01_all            10004.6  10013.2  1           85.7627   
l.6jl_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
l.6jl_CR03_PT3J           4518.63  4521.22  0.451656    38.7353   
l.6jl_CR04_PT4J           1547.62  1548.49  0.154691    13.2667   
l.6jl_CR05_PT5J           389      389      0.0388823   3.33465   
l.6jl_CR06_PT6J           99       99       0.00989548  0.848663  
l.6jl_CR07_dphiMin2J3J    84       84       0.00839617  0.720078  
l.6jl_CR08_dphiMinMoreJ   75       75       0.00749658  0.642927  
l.6jl_CR12_Rmeff          59       59       0.00589731  0.505769  
l.6jl_CR13_meffIncl       59       59       0.00589731  0.505769  
m.6jm_CR01_all            10004.6  10013.2  1           85.7627   
m.6jm_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
m.6jm_CR03_PT3J           4518.63  4521.22  0.451656    38.7353   
m.6jm_CR04_PT4J           1547.62  1548.49  0.154691    13.2667   
m.6jm_CR05_PT5J           389      389      0.0388823   3.33465   
m.6jm_CR06_PT6J           99       99       0.00989548  0.848663  
m.6jm_CR07_dphiMin2J3J    84       84       0.00839617  0.720078  
m.6jm_CR08_dphiMinMoreJ   75       75       0.00749658  0.642927  
m.6jm_CR12_Rmeff          59       59       0.00589731  0.505769  
m.6jm_CR13_meffIncl       57       57       0.0056974   0.488624  
n.6jt_CR01_all            10004.6  10013.2  1           85.7627   
n.6jt_CR02_missETjetsPT   9016.63  9019.22  0.901251    77.2937   
n.6jt_CR03_PT3J           4518.63  4521.22  0.451656    38.7353   
n.6jt_CR04_PT4J           1547.62  1548.49  0.154691    13.2667   
n.6jt_CR05_PT5J           389      389      0.0388823   3.33465   
n.6jt_CR06_PT6J           99       99       0.00989548  0.848663  
n.6jt_CR07_dphiMin2J3J    84       84       0.00839617  0.720078  
n.6jt_CR08_dphiMinMoreJ   75       75       0.00749658  0.642927  
n.6jt_CR12_Rmeff          50       50       0.00499772  0.428618  
n.6jt_CR13_meffIncl       44       44       0.00439799  0.377184  
o.6jt+_CR01_all           10004.6  10013.2  1           85.7627   
