# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           3543.38 fb
 Error:          0 fb
MCEvents:        20000
 SumOfWeights:   20000.3
 SumOfWeights2:  20000.5
 NormEvents:     71642.9

Cut                       Sum_W    Sum_W2   Acc          N_Norm   
a.2jl_CR01_all            20000.3  20000.5  1            71642.9  
a.2jl_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
a.2jl_CR07_dphiMin2J3J    4947.03  4947.07  0.247348     17720.8  
a.2jl_CR11_RHT            4562.03  4562.07  0.228099     16341.6  
a.2jl_CR13_meffIncl       921      921      0.0460494    3299.11  
b.2jm_CR01_all            20000.3  20000.5  1            71642.9  
b.2jm_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
b.2jm_CR07_dphiMin2J3J    4947.03  4947.07  0.247348     17720.8  
b.2jm_CR11_RHT            808      808      0.0403995    2894.33  
b.2jm_CR13_meffIncl       83       83       0.00414995   297.314  
c.2jt_CR01_all            20000.3  20000.5  1            71642.9  
c.2jt_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
c.2jt_CR07_dphiMin2J3J    4947.03  4947.07  0.247348     17720.8  
c.2jt_CR11_RHT            808      808      0.0403995    2894.33  
c.2jt_CR13_meffIncl       24       24       0.00119998   85.9703  
d.2jW_CR01_all            20000.3  20000.5  1            71642.9  
d.2jW_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
d.2jW_CR07_dphiMin2J3J    4947.03  4947.07  0.247348     17720.8  
d.2jW_CR09_unRW           1        1        4.99993e-05  3.5821   
d.2jW_CR12_Rmeff          1        1        4.99993e-05  3.5821   
d.2jW_CR13_meffIncl       0        0        0            0        
e.3j_CR01_all             20000.3  20000.5  1            71642.9  
e.3j_CR02_missETjetsPT    5493.04  5493.09  0.274649     19676.6  
e.3j_CR03_PT3J            2418.01  2418.02  0.120899     8661.55  
e.3j_CR07_dphiMin2J3J     2083     2083     0.104149     7461.51  
e.3j_CR12_Rmeff           1582     1582     0.079099     5666.88  
e.3j_CR13_meffIncl        2        2        9.99987e-05  7.16419  
f.4jl-_CR01_all           20000.3  20000.5  1            71642.9  
f.4jl-_CR02_missETjetsPT  5493.04  5493.09  0.274649     19676.6  
f.4jl-_CR03_PT3J          2418.01  2418.02  0.120899     8661.55  
f.4jl-_CR04_PT4J          746      746      0.0372995    2672.24  
f.4jl-_CR07_dphiMin2J3J   639      639      0.0319496    2288.96  
f.4jl-_CR08_dphiMinMoreJ  586      586      0.0292996    2099.11  
f.4jl-_CR11_RHT           314      314      0.0156998    1124.78  
f.4jl-_CR13_meffIncl      279      279      0.0139498    999.405  
g.4jl_CR01_all            20000.3  20000.5  1            71642.9  
g.4jl_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
g.4jl_CR03_PT3J           2418.01  2418.02  0.120899     8661.55  
g.4jl_CR04_PT4J           746      746      0.0372995    2672.24  
g.4jl_CR07_dphiMin2J3J    639      639      0.0319496    2288.96  
g.4jl_CR08_dphiMinMoreJ   586      586      0.0292996    2099.11  
g.4jl_CR11_RHT            314      314      0.0156998    1124.78  
g.4jl_CR13_meffIncl       122      122      0.00609992   437.016  
h.4jm_CR01_all            20000.3  20000.5  1            71642.9  
h.4jm_CR02_missETjetsPT   5493.04  5493.09  0.274649     19676.6  
h.4jm_CR03_PT3J           2418.01  2418.02  0.120899     8661.55  
h.4jm_CR04_PT4J           746      746      0.0372995    2672.24  
h.4jm_CR07_dphiMin2J3J    639      639      0.0319496    2288.96  
h.4jm_CR08_dphiMinMoreJ   586      586      0.0292996    2099.11  
h.4jm_CR12_Rmeff          74       74       0.00369995   265.075  
h.4jm_CR13_meffIncl       5        5        0.000249997  17.9105  
