# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           0.714083 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     14.4379

Cut                       Sum_W  Sum_W2  Acc      N_Norm    
a.2jl_CR01_all            50000  50000   1        14.4379   
a.2jl_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
a.2jl_CR07_dphiMin2J3J    37242  37242   0.74484  10.7539   
a.2jl_CR11_RHT            30066  30066   0.60132  8.6818    
a.2jl_CR13_meffIncl       30050  30050   0.601    8.67718   
b.2jm_CR01_all            50000  50000   1        14.4379   
b.2jm_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
b.2jm_CR07_dphiMin2J3J    37242  37242   0.74484  10.7539   
b.2jm_CR11_RHT            15273  15273   0.30546  4.4102    
b.2jm_CR13_meffIncl       15212  15212   0.30424  4.39259   
c.2jt_CR01_all            50000  50000   1        14.4379   
c.2jt_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
c.2jt_CR07_dphiMin2J3J    37242  37242   0.74484  10.7539   
c.2jt_CR11_RHT            15273  15273   0.30546  4.4102    
c.2jt_CR13_meffIncl       14474  14474   0.28948  4.17948   
d.2jW_CR01_all            50000  50000   1        14.4379   
d.2jW_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
d.2jW_CR07_dphiMin2J3J    37242  37242   0.74484  10.7539   
d.2jW_CR09_unRW           1449   1449    0.02898  0.41841   
d.2jW_CR12_Rmeff          858    858     0.01716  0.247754  
d.2jW_CR13_meffIncl       839    839     0.01678  0.242268  
e.3j_CR01_all             50000  50000   1        14.4379   
e.3j_CR02_missETjetsPT    46052  46052   0.92104  13.2979   
e.3j_CR03_PT3J            45757  45757   0.91514  13.2127   
e.3j_CR07_dphiMin2J3J     36994  36994   0.73988  10.6823   
e.3j_CR12_Rmeff           16812  16812   0.33624  4.8546    
e.3j_CR13_meffIncl        9303   9303    0.18606  2.68632   
f.4jl-_CR01_all           50000  50000   1        14.4379   
f.4jl-_CR02_missETjetsPT  46052  46052   0.92104  13.2979   
f.4jl-_CR03_PT3J          45757  45757   0.91514  13.2127   
f.4jl-_CR04_PT4J          41787  41787   0.83574  12.0663   
f.4jl-_CR07_dphiMin2J3J   33762  33762   0.67524  9.74905   
f.4jl-_CR08_dphiMinMoreJ  29115  29115   0.5823   8.40719   
f.4jl-_CR11_RHT           20160  20160   0.4032   5.82136   
f.4jl-_CR13_meffIncl      20160  20160   0.4032   5.82136   
g.4jl_CR01_all            50000  50000   1        14.4379   
g.4jl_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
g.4jl_CR03_PT3J           45757  45757   0.91514  13.2127   
g.4jl_CR04_PT4J           41787  41787   0.83574  12.0663   
g.4jl_CR07_dphiMin2J3J    33762  33762   0.67524  9.74905   
g.4jl_CR08_dphiMinMoreJ   29115  29115   0.5823   8.40719   
g.4jl_CR11_RHT            20160  20160   0.4032   5.82136   
g.4jl_CR13_meffIncl       20142  20142   0.40284  5.81616   
h.4jm_CR01_all            50000  50000   1        14.4379   
h.4jm_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
h.4jm_CR03_PT3J           45757  45757   0.91514  13.2127   
h.4jm_CR04_PT4J           41787  41787   0.83574  12.0663   
h.4jm_CR07_dphiMin2J3J    33762  33762   0.67524  9.74905   
h.4jm_CR08_dphiMinMoreJ   29115  29115   0.5823   8.40719   
h.4jm_CR12_Rmeff          2657   2657    0.05314  0.76723   
h.4jm_CR13_meffIncl       2618   2618    0.05236  0.755969  
i.4jt_CR01_all            50000  50000   1        14.4379   
i.4jt_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
i.4jt_CR03_PT3J           45757  45757   0.91514  13.2127   
i.4jt_CR04_PT4J           41787  41787   0.83574  12.0663   
i.4jt_CR07_dphiMin2J3J    33762  33762   0.67524  9.74905   
i.4jt_CR08_dphiMinMoreJ   29115  29115   0.5823   8.40719   
i.4jt_CR12_Rmeff          15648  15648   0.31296  4.51849   
i.4jt_CR13_meffIncl       8798   8798    0.17596  2.54049   
j.4jW_CR01_all            50000  50000   1        14.4379   
j.4jW_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
j.4jW_CR03_PT3J_for4jW    45956  45956   0.91912  13.2702   
j.4jW_CR04_PT4J_for4jW    44025  44025   0.8805   12.7126   
j.4jW_CR07_dphiMin2J3J    35577  35577   0.71154  10.2731   
j.4jW_CR08_dphiMinMoreJ   30772  30772   0.61544  8.88566   
j.4jW_CR09_unRW           9199   9199    0.18398  2.65629   
j.4jW_CR10_RW             2166   2166    0.04332  0.62545   
j.4jW_CR12_Rmeff          411    411     0.00822  0.11868   
j.4jW_CR13_meffIncl       410    410     0.0082   0.118391  
k.5j_CR01_all             50000  50000   1        14.4379   
k.5j_CR02_missETjetsPT    46052  46052   0.92104  13.2979   
k.5j_CR03_PT3J            45757  45757   0.91514  13.2127   
k.5j_CR04_PT4J            41787  41787   0.83574  12.0663   
k.5j_CR05_PT5J            26526  26526   0.53052  7.6596    
k.5j_CR07_dphiMin2J3J     21330  21330   0.4266   6.15921   
k.5j_CR08_dphiMinMoreJ    17775  17775   0.3555   5.13267   
k.5j_CR12_Rmeff           11752  11752   0.23504  3.39348   
k.5j_CR13_meffIncl        11683  11683   0.23366  3.37356   
l.6jl_CR01_all            50000  50000   1        14.4379   
l.6jl_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
l.6jl_CR03_PT3J           45757  45757   0.91514  13.2127   
l.6jl_CR04_PT4J           41787  41787   0.83574  12.0663   
l.6jl_CR05_PT5J           26526  26526   0.53052  7.6596    
l.6jl_CR06_PT6J           12198  12198   0.24396  3.52227   
l.6jl_CR07_dphiMin2J3J    9730   9730    0.1946   2.80962   
l.6jl_CR08_dphiMinMoreJ   7745   7745    0.1549   2.23643   
l.6jl_CR12_Rmeff          4737   4737    0.09474  1.36785   
l.6jl_CR13_meffIncl       4737   4737    0.09474  1.36785   
m.6jm_CR01_all            50000  50000   1        14.4379   
m.6jm_CR02_missETjetsPT   46052  46052   0.92104  13.2979   
m.6jm_CR03_PT3J           45757  45757   0.91514  13.2127   
