# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           130.905 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     2646.74

Cut                       Sum_W  Sum_W2  Acc      N_Norm    
a.2jl_CR01_all            50000  50000   1        2646.74   
a.2jl_CR02_missETjetsPT   20172  20172   0.40344  1067.8    
a.2jl_CR07_dphiMin2J3J    17297  17297   0.34594  915.614   
a.2jl_CR11_RHT            13137  13137   0.26274  695.405   
a.2jl_CR13_meffIncl       9091   9091    0.18182  481.231   
b.2jm_CR01_all            50000  50000   1        2646.74   
b.2jm_CR02_missETjetsPT   20172  20172   0.40344  1067.8    
b.2jm_CR07_dphiMin2J3J    17297  17297   0.34594  915.614   
b.2jm_CR11_RHT            2443   2443    0.04886  129.32    
b.2jm_CR13_meffIncl       550    550     0.011    29.1142   
c.2jt_CR01_all            50000  50000   1        2646.74   
c.2jt_CR02_missETjetsPT   20172  20172   0.40344  1067.8    
c.2jt_CR07_dphiMin2J3J    17297  17297   0.34594  915.614   
c.2jt_CR11_RHT            2443   2443    0.04886  129.32    
c.2jt_CR13_meffIncl       148    148     0.00296  7.83436   
d.2jW_CR01_all            50000  50000   1        2646.74   
d.2jW_CR02_missETjetsPT   20172  20172   0.40344  1067.8    
d.2jW_CR07_dphiMin2J3J    17297  17297   0.34594  915.614   
d.2jW_CR09_unRW           52     52      0.00104  2.75261   
d.2jW_CR12_Rmeff          13     13      0.00026  0.688153  
d.2jW_CR13_meffIncl       5      5       0.0001   0.264674  
e.3j_CR01_all             50000  50000   1        2646.74   
e.3j_CR02_missETjetsPT    20172  20172   0.40344  1067.8    
e.3j_CR03_PT3J            18463  18463   0.36926  977.336   
e.3j_CR07_dphiMin2J3J     15790  15790   0.3158   835.841   
e.3j_CR12_Rmeff           10166  10166   0.20332  538.136   
e.3j_CR13_meffIncl        19     19      0.00038  1.00576   
f.4jl-_CR01_all           50000  50000   1        2646.74   
f.4jl-_CR02_missETjetsPT  20172  20172   0.40344  1067.8    
