# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           2.58061 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     52.1768

Cut                       Sum_W  Sum_W2  Acc      N_Norm     
a.2jl_CR01_all            50000  50000   1        52.1768    
a.2jl_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
a.2jl_CR07_dphiMin2J3J    23446  23446   0.46892  24.4668    
a.2jl_CR11_RHT            18300  18300   0.366    19.0967    
a.2jl_CR13_meffIncl       17970  17970   0.3594   18.7524    
b.2jm_CR01_all            50000  50000   1        52.1768    
b.2jm_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
b.2jm_CR07_dphiMin2J3J    23446  23446   0.46892  24.4668    
b.2jm_CR11_RHT            5481   5481    0.10962  5.71962    
b.2jm_CR13_meffIncl       4629   4629    0.09258  4.83053    
c.2jt_CR01_all            50000  50000   1        52.1768    
c.2jt_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
c.2jt_CR07_dphiMin2J3J    23446  23446   0.46892  24.4668    
c.2jt_CR11_RHT            5481   5481    0.10962  5.71962    
c.2jt_CR13_meffIncl       1997   1997    0.03994  2.08394    
d.2jW_CR01_all            50000  50000   1        52.1768    
d.2jW_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
d.2jW_CR07_dphiMin2J3J    23446  23446   0.46892  24.4668    
d.2jW_CR09_unRW           253    253     0.00506  0.264015   
d.2jW_CR12_Rmeff          150    150     0.003    0.156531   
d.2jW_CR13_meffIncl       84     84      0.00168  0.0876571  
e.3j_CR01_all             50000  50000   1        52.1768    
e.3j_CR02_missETjetsPT    27444  27444   0.54888  28.6388    
e.3j_CR03_PT3J            27264  27264   0.54528  28.451     
e.3j_CR07_dphiMin2J3J     23287  23287   0.46574  24.3008    
e.3j_CR12_Rmeff           15847  15847   0.31694  16.5369    
e.3j_CR13_meffIncl        289    289     0.00578  0.301582   
f.4jl-_CR01_all           50000  50000   1        52.1768    
f.4jl-_CR02_missETjetsPT  27444  27444   0.54888  28.6388    
f.4jl-_CR03_PT3J          27264  27264   0.54528  28.451     
f.4jl-_CR04_PT4J          25995  25995   0.5199   27.1267    
f.4jl-_CR07_dphiMin2J3J   22188  22188   0.44376  23.154     
f.4jl-_CR08_dphiMinMoreJ  18757  18757   0.37514  19.5736    
f.4jl-_CR11_RHT           11550  11550   0.231    12.0528    
f.4jl-_CR13_meffIncl      11536  11536   0.23072  12.0382    
g.4jl_CR01_all            50000  50000   1        52.1768    
g.4jl_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
g.4jl_CR03_PT3J           27264  27264   0.54528  28.451     
g.4jl_CR04_PT4J           25995  25995   0.5199   27.1267    
g.4jl_CR07_dphiMin2J3J    22188  22188   0.44376  23.154     
g.4jl_CR08_dphiMinMoreJ   18757  18757   0.37514  19.5736    
g.4jl_CR11_RHT            11550  11550   0.231    12.0528    
g.4jl_CR13_meffIncl       10907  10907   0.21814  11.3819    
h.4jm_CR01_all            50000  50000   1        52.1768    
h.4jm_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
h.4jm_CR03_PT3J           27264  27264   0.54528  28.451     
h.4jm_CR04_PT4J           25995  25995   0.5199   27.1267    
h.4jm_CR07_dphiMin2J3J    22188  22188   0.44376  23.154     
h.4jm_CR08_dphiMinMoreJ   18757  18757   0.37514  19.5736    
h.4jm_CR12_Rmeff          3350   3350    0.067    3.49585    
h.4jm_CR13_meffIncl       2267   2267    0.04534  2.3657     
i.4jt_CR01_all            50000  50000   1        52.1768    
i.4jt_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
i.4jt_CR03_PT3J           27264  27264   0.54528  28.451     
i.4jt_CR04_PT4J           25995  25995   0.5199   27.1267    
i.4jt_CR07_dphiMin2J3J    22188  22188   0.44376  23.154     
i.4jt_CR08_dphiMinMoreJ   18757  18757   0.37514  19.5736    
i.4jt_CR12_Rmeff          14079  14079   0.28158  14.692     
i.4jt_CR13_meffIncl       249    249     0.00498  0.259841   
j.4jW_CR01_all            50000  50000   1        52.1768    
j.4jW_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
j.4jW_CR03_PT3J_for4jW    27428  27428   0.54856  28.6221    
j.4jW_CR04_PT4J_for4jW    27178  27178   0.54356  28.3612    
j.4jW_CR07_dphiMin2J3J    23218  23218   0.46436  24.2288    
j.4jW_CR08_dphiMinMoreJ   19702  19702   0.39404  20.5598    
j.4jW_CR09_unRW           3051   3051    0.06102  3.18383    
j.4jW_CR10_RW             1175   1175    0.0235   1.22616    
j.4jW_CR12_Rmeff          291    291     0.00582  0.303669   
j.4jW_CR13_meffIncl       287    287     0.00574  0.299495   
k.5j_CR01_all             50000  50000   1        52.1768    
k.5j_CR02_missETjetsPT    27444  27444   0.54888  28.6388    
k.5j_CR03_PT3J            27264  27264   0.54528  28.451     
k.5j_CR04_PT4J            25995  25995   0.5199   27.1267    
k.5j_CR05_PT5J            21887  21887   0.43774  22.8399    
k.5j_CR07_dphiMin2J3J     18663  18663   0.37326  19.4755    
k.5j_CR08_dphiMinMoreJ    15603  15603   0.31206  16.2823    
k.5j_CR12_Rmeff           13202  13202   0.26404  13.7768    
k.5j_CR13_meffIncl        10073  10073   0.20146  10.5115    
l.6jl_CR01_all            50000  50000   1        52.1768    
l.6jl_CR02_missETjetsPT   27444  27444   0.54888  28.6388    
l.6jl_CR03_PT3J           27264  27264   0.54528  28.451     
