# ATLAS
# ATLAS arXiv:1308.2631
#0 leptons + 2 b-jets + Etmiss [Sbottom/stop]
# Energy: 8 TeV
# Luminosity: 20.1 fb^-1
# UNVALIDATED!!!!!!!!!!!!!!!!!!!!!!!!!


Inputfile:
XSect:           85.584 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50614.9
 SumOfWeights2:  52873.5
 NormEvents:     1720.24

Cut                   Sum_W    Sum_W2   Acc         N_Norm   
0                     50614.9  52873.5  1           1720.24  
1                     0        0        0           0        
10                    0        0        0           0        
11                    0        0        0           0        
12                    0        0        0           0        
13                    0        0        0           0        
14                    0        0        0           0        
15                    2192.44  2193.01  0.0433162   74.5142  
16                    0        0        0           0        
2                     0        0        0           0        
3                     0        0        0           0        
4                     0        0        0           0        
5                     0        0        0           0        
6                     0        0        0           0        
7                     0        0        0           0        
8                     0        0        0           0        
9                     0        0        0           0        
SRA_a_jet130          36238.9  36295.3  0.715973    1231.64  
SRA_b_jet2            35958.9  36015.3  0.710441    1222.13  
SRA_c_jet2pt          34555.2  34603.8  0.682708    1174.42  
SRA_d_jet3            14649.2  14685    0.289426    497.881  
SRA_f_bjet            3268.47  3274.69  0.0645754   111.085  
SRA_g_bjetNum         2882.55  2884.94  0.0569507   97.9689  
SRA_h_dPhi(jet,Met)   2649.53  2651.89  0.0523469   90.0491  
SRA_i_Meff            2519.53  2521.89  0.0497785   85.6309  
SRA_j_mBB             2019.44  2020.01  0.0398982   68.6345  
SRA_k_mCT_150         1743.44  1744.01  0.0344453   59.2541  
SRA_l_mCT_200         1399     1399     0.0276401   47.5476  
SRA_m_mCT_250         1054     1054     0.0208239   35.8221  
SRA_n_mCT_300         719      719      0.0142053   24.4365  
SRB_a_jet150          23204.8  23218.6  0.458458    788.657  
SRB_b_jet2            23028.8  23042.6  0.45498     782.675  
SRB_c_jet2pt          22871.8  22884.1  0.45188     777.341  
SRB_d_jet3            17010.3  17014.3  0.336072    578.125  
SRB_e_dPhi(jet1,Met)  12626.6  12629.9  0.249465    429.139  
SRB_f_bjet            3124.22  3124.48  0.0617254   106.182  
SRB_g_bjetNum         351      351      0.00693472  11.9294  
SRB_h_dPhi(jet,Met)   319      319      0.00630249  10.8418  
SRB_i_Meff            311      311      0.00614444  10.5699  
SRB_j_HT3             173      173      0.00341797  5.87972  
a_NoCuts              50614.9  52873.5  1           1720.24  
b_ETMiss_80           46110.8  46589    0.911013    1567.16  
c_PhotonVeto          46110.8  46589    0.911013    1567.16  
d_MuonVeto            45709.7  46144.1  0.903088    1553.53  
e_ElectronVeto        45050.3  45482.4  0.89006     1531.12  
f_EtMiss150           37573.5  37641.1  0.74234     1277     
f_EtMiss250           23883.6  23900.7  0.47187     811.729  
