# ATLAS
# ATLAS arXiv:1308.2631
#0 leptons + 2 b-jets + Etmiss [Sbottom/stop]
# Energy: 8 TeV
# Luminosity: 20.1 fb^-1
# UNVALIDATED!!!!!!!!!!!!!!!!!!!!!!!!!


Inputfile:
XSect:           85.584 fb
 Error:          0 fb
MCEvents:        400000
 SumOfWeights:   400000
 SumOfWeights2:  400000
 NormEvents:     1720.24

Cut                   Sum_W   Sum_W2  Acc        N_Norm     
0                     400000  400000  1          1720.24    
1                     0       0       0          0          
10                    0       0       0          0          
11                    0       0       0          0          
12                    0       0       0          0          
13                    0       0       0          0          
14                    0       0       0          0          
15                    835     835     0.0020875  3.591      
16                    0       0       0          0          
2                     0       0       0          0          
3                     0       0       0          0          
4                     0       0       0          0          
5                     0       0       0          0          
6                     0       0       0          0          
7                     0       0       0          0          
8                     0       0       0          0          
9                     0       0       0          0          
SRA_a_jet130          52412   52412   0.13103    225.403    
SRA_b_jet2            52083   52083   0.130208   223.988    
SRA_c_jet2pt          46083   46083   0.115208   198.184    
SRA_d_jet3            15776   15776   0.03944    67.8462    
SRA_f_bjet            2953    2953    0.0073825  12.6997    
SRA_g_bjetNum         574     574     0.001435   2.46854    
SRA_h_dPhi(jet,Met)   469     469     0.0011725  2.01698    
SRA_i_Meff            468     468     0.00117    2.01268    
SRA_j_mBB             308     308     0.00077    1.32458    
SRA_k_mCT_150         71      71      0.0001775  0.305342   
SRA_l_mCT_200         19      19      4.75e-05   0.0817113  
SRA_m_mCT_250         8       8       2e-05      0.0344048  
SRA_n_mCT_300         3       3       7.5e-06    0.0129018  
SRB_a_jet150          19721   19721   0.0493025  84.8121    
SRB_b_jet2            19684   19684   0.04921    84.6529    
SRB_c_jet2pt          19536   19536   0.04884    84.0164    
SRB_d_jet3            17792   17792   0.04448    76.5162    
SRB_e_dPhi(jet1,Met)  16297   16297   0.0407425  70.0868    
SRB_f_bjet            3712    3712    0.00928    15.9638    
SRB_g_bjetNum         1192    1192    0.00298    5.12631    
SRB_h_dPhi(jet,Met)   897     897     0.0022425  3.85763    
SRB_i_Meff            896     896     0.00224    3.85333    
SRB_j_HT3             527     527     0.0013175  2.26641    
a_NoCuts              400000  400000  1          1720.24    
b_ETMiss_80           254402  254402  0.636005   1094.08    
c_PhotonVeto          254402  254402  0.636005   1094.08    
d_MuonVeto            216213  216213  0.540532   929.845    
e_ElectronVeto        195367  195367  0.488418   840.195    
f_EtMiss150           76070   76070   0.190175   327.146    
f_EtMiss250           21459   21459   0.0536475  92.2865    
