# cms
# cms pss sus-16-039
# 3 leptons
# sqrt(s) = 13 TeV
# int(L) = 35.9fb^-1

Inputfile:
XSect:           780 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     28002

SR      Sum_W  Sum_W2  Acc      N_Norm   
SR_A01  13     13      0.00026  7.28052  
SR_A02  7      7       0.00014  3.92028  
SR_A03  4      4       8e-05    2.24016  
SR_A04  0      0       0        0        
SR_A05  1      1       2e-05    0.56004  
SR_A06  4      4       8e-05    2.24016  
SR_A07  2      2       4e-05    1.12008  
SR_A08  0      0       0        0        
SR_A09  1      1       2e-05    0.56004  
SR_A10  2      2       4e-05    1.12008  
SR_A11  2      2       4e-05    1.12008  
SR_A12  1      1       2e-05    0.56004  
SR_A13  1      1       2e-05    0.56004  
SR_A14  0      0       0        0        
SR_A15  5      5       0.0001   2.8002   
SR_A16  2      2       4e-05    1.12008  
SR_A17  0      0       0        0        
SR_A18  1      1       2e-05    0.56004  
SR_A19  0      0       0        0        
SR_A20  0      0       0        0        
SR_A21  0      0       0        0        
SR_A22  0      0       0        0        
SR_A23  0      0       0        0        
SR_A24  0      0       0        0        
SR_A25  0      0       0        0        
SR_A26  0      0       0        0        
SR_A27  1      1       2e-05    0.56004  
SR_A28  0      0       0        0        
SR_A29  0      0       0        0        
SR_A30  0      0       0        0        
SR_A31  0      0       0        0        
SR_A32  1      1       2e-05    0.56004  
SR_A33  2      2       4e-05    1.12008  
SR_A34  0      0       0        0        
SR_A35  0      0       0        0        
SR_A36  0      0       0        0        
SR_A37  1      1       2e-05    0.56004  
SR_A38  1      1       2e-05    0.56004  
SR_A39  0      0       0        0        
SR_A40  0      0       0        0        
SR_A41  0      0       0        0        
SR_A42  0      0       0        0        
SR_A43  0      0       0        0        
SR_A44  1      1       2e-05    0.56004  
SR_B01  20     20      0.0004   11.2008  
SR_B02  8      8       0.00016  4.48032  
SR_B03  1      1       2e-05    0.56004  
SR_B04  0      0       0        0        
SR_B05  0      0       0        0        
SR_B06  0      0       0        0        
SR_C01  20     20      0.0004   11.2008  
SR_C02  10     10      0.0002   5.6004   
SR_C03  1      1       2e-05    0.56004  
SR_C04  0      0       0        0        
SR_C05  3      3       6e-05    1.68012  
SR_C06  6      6       0.00012  3.36024  
SR_C07  2      2       4e-05    1.12008  
SR_C08  1      1       2e-05    0.56004  
SR_C09  0      0       0        0        
SR_C10  0      0       0        0        
SR_C11  0      0       0        0        
SR_C12  6      6       0.00012  3.36024  
SR_C13  0      0       0        0        
SR_C14  0      0       0        0        
SR_C15  0      0       0        0        
SR_C16  1      1       2e-05    0.56004  
SR_C17  2      2       4e-05    1.12008  
SR_C18  5      5       0.0001   2.8002   
SR_D01  32     32      0.00064  17.9213  
SR_D02  12     12      0.00024  6.72048  
SR_D03  1      1       2e-05    0.56004  
SR_D04  1      1       2e-05    0.56004  
SR_D05  0      0       0        0        
SR_D06  17     17      0.00034  9.52068  
SR_D07  9      9       0.00018  5.04036  
SR_D08  2      2       4e-05    1.12008  
SR_D09  1      1       2e-05    0.56004  
SR_D10  1      1       2e-05    0.56004  
SR_D11  0      0       0        0        
SR_D12  0      0       0        0        
SR_D13  0      0       0        0        
SR_D14  0      0       0        0        
SR_D15  6      6       0.00012  3.36024  
SR_D16  2      2       4e-05    1.12008  
SR_E01  41     41      0.00082  22.9616  
SR_E02  12     12      0.00024  6.72048  
