# cms
# cms pss sus-16-039
# 3 leptons
# sqrt(s) = 13 TeV
# int(L) = 35.9fb^-1

Inputfile:
XSect:           168 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     6031.2

SR      Sum_W  Sum_W2  Acc      N_Norm    
SR_A01  100    100     0.002    12.0624   
SR_A02  42     42      0.00084  5.06621   
SR_A03  18     18      0.00036  2.17123   
SR_A04  12     12      0.00024  1.44749   
SR_A05  9      9       0.00018  1.08562   
SR_A06  45     45      0.0009   5.42808   
SR_A07  7      7       0.00014  0.844368  
SR_A08  4      4       8e-05    0.482496  
SR_A09  0      0       0        0         
SR_A10  13     13      0.00026  1.56811   
SR_A11  28     28      0.00056  3.37747   
SR_A12  13     13      0.00026  1.56811   
SR_A13  4      4       8e-05    0.482496  
SR_A14  6      6       0.00012  0.723744  
SR_A15  1818   1818    0.03636  219.294   
SR_A16  894    894     0.01788  107.838   
SR_A17  440    440     0.0088   53.0746   
SR_A18  221    221     0.00442  26.6579   
SR_A19  210    210     0.0042   25.331    
SR_A20  29     29      0.00058  3.4981    
SR_A21  18     18      0.00036  2.17123   
SR_A22  529    529     0.01058  63.8101   
SR_A23  164    164     0.00328  19.7823   
SR_A24  63     63      0.00126  7.59931   
SR_A25  35     35      0.0007   4.22184   
SR_A26  197    197     0.00394  23.7629   
SR_A27  256    256     0.00512  30.8797   
SR_A28  99     99      0.00198  11.9418   
SR_A29  49     49      0.00098  5.91058   
SR_A30  41     41      0.00082  4.94558   
SR_A31  11     11      0.00022  1.32686   
SR_A32  7      7       0.00014  0.844368  
SR_A33  7      7       0.00014  0.844368  
SR_A34  0      0       0        0         
SR_A35  4      4       8e-05    0.482496  
SR_A36  11     11      0.00022  1.32686   
SR_A37  0      0       0        0         
SR_A38  3      3       6e-05    0.361872  
SR_A39  3      3       6e-05    0.361872  
SR_A40  3      3       6e-05    0.361872  
SR_A41  0      0       0        0         
SR_A42  0      0       0        0         
SR_A43  1      1       2e-05    0.120624  
SR_A44  2      2       4e-05    0.241248  
SR_B01  13     13      0.00026  1.56811   
SR_B02  14     14      0.00028  1.68874   
SR_B03  0      0       0        0         
SR_B04  0      0       0        0         
SR_B05  0      0       0        0         
SR_B06  0      0       0        0         
SR_C01  42     42      0.00084  5.06621   
SR_C02  14     14      0.00028  1.68874   
SR_C03  3      3       6e-05    0.361872  
SR_C04  0      0       0        0         
SR_C05  0      0       0        0         
SR_C06  758    758     0.01516  91.433    
SR_C07  451    451     0.00902  54.4014   
SR_C08  235    235     0.0047   28.3466   
SR_C09  191    191     0.00382  23.0392   
SR_C10  49     49      0.00098  5.91058   
SR_C11  40     40      0.0008   4.82496   
SR_C12  7      7       0.00014  0.844368  
SR_C13  6      6       0.00012  0.723744  
SR_C14  5      5       0.0001   0.60312   
SR_C15  6      6       0.00012  0.723744  
SR_C16  0      0       0        0         
SR_C17  27     27      0.00054  3.25685   
SR_C18  21     21      0.00042  2.5331    
SR_D01  13     13      0.00026  1.56811   
SR_D02  2      2       4e-05    0.241248  
SR_D03  3      3       6e-05    0.361872  
SR_D04  2      2       4e-05    0.241248  
SR_D05  2      2       4e-05    0.241248  
SR_D06  11     11      0.00022  1.32686   
SR_D07  6      6       0.00012  0.723744  
SR_D08  1      1       2e-05    0.120624  
SR_D09  0      0       0        0         
SR_D10  0      0       0        0         
SR_D11  0      0       0        0         
SR_D12  0      0       0        0         
SR_D13  0      0       0        0         
SR_D14  1      1       2e-05    0.120624  
SR_D15  1      1       2e-05    0.120624  
SR_D16  1      1       2e-05    0.120624  
SR_E01  31     31      0.00062  3.73934   
