# CMS
# CMS_1408_3583
# monojet, etmiss
# sqrt(s) = 8 TeV
# int(L) = 19.7 fb^-1

Inputfile:
XSect:           10 fb
 Error:          0 fb
MCEvents:        49855
 SumOfWeights:   2.37125e-07
 SumOfWeights2:  2.72582e-18
 NormEvents:     197

Cut  Sum_W        Sum_W2       Acc         N_Norm   
0    2.37125e-07  2.72582e-18  1           197      
1    5.69592e-08  6.54763e-19  0.240207    47.3209  
2    5.54303e-08  6.37188e-19  0.23376     46.0507  
3    3.82678e-08  4.399e-19    0.161383    31.7924  
4    3.6555e-08   4.20211e-19  0.154159    30.3694  
5    3.62102e-08  4.16247e-19  0.152705    30.0829  
6    2.10824e-08  2.42348e-19  0.0889083   17.5149  
7    1.28288e-08  1.4747e-19   0.0541012   10.6579  
8    8.08119e-09  9.28957e-20  0.0340799   6.71374  
9    5.11541e-09  5.88031e-20  0.0215726   4.24981  
9a   3.39111e-09  3.89818e-20  0.014301    2.81729  
9b   2.2071e-09   2.53712e-20  0.00930774  1.83362  
9c   1.52887e-09  1.75749e-20  0.00644755  1.27017  
